# Header: Npoints zmin zmax IMF Hubble Comment
# 39 0.0 0.2 0.0 1.0 Li & White 2009
10.40 -2.736 -2.619 -2.864 1
10.60 -2.783 -2.656 -2.924 1
10.80 -2.860 -2.724 -3.012 1
11.00 -2.994 -2.851 -3.155 1
11.20 -3.145 -2.965 -3.353 1
11.40 -3.329 -3.073 -3.648 1
11.60 -3.700 -3.419 -4.059 1
11.80 -4.582 -4.182 -9.990 1
12.00 -4.982 -4.779 -5.223 1
# 10 1.60 2.00 0.24 0.7 Perez-Gonzalez 2008
10.20 -2.935 -2.818 -3.063 1
10.40 -2.979 -2.846 -3.127 1
10.60 -2.967 -2.846 -3.101 1
10.80 -3.066 -2.930 -3.218 1
11.00 -3.207 -3.048 -3.389 1
11.20 -3.340 -3.125 -3.598 1
11.40 -3.585 -3.308 -3.938 1
11.60 -3.873 -3.532 -4.335 1
11.80 -4.388 -4.133 -4.706 1
12.00 -4.834 -4.497 -5.290 1
# 9 2.00 2.50 0.24 0.7 Perez-Gonzalez 2008
10.40 -3.068 -2.949 -3.200 1
10.60 -3.176 -3.037 -3.332 1
10.80 -3.234 -3.095 -3.389 1
11.00 -3.367 -3.202 -3.555 1
11.20 -3.499 -3.323 -3.703 1
11.40 -3.672 -3.446 -3.945 1
11.60 -4.151 -3.883 -4.490 1
11.80 -4.289 -4.035 -4.605 1
12.00 -4.878 -4.542 -5.332 1
# 7 2.50 3.00 0.24 0.7 Perez-Gonzalez 2008
10.80 -3.477 -3.279 -3.710 1
11.00 -3.495 -3.295 -3.731 1
11.20 -3.591 -3.394 -3.823 1
11.40 -3.770 -3.523 -4.076 1
11.60 -4.156 -3.843 -4.569 1
11.80 -4.385 -4.041 -4.853 1
12.00 -4.986 -4.707 -5.342 1
# 6 3.00 3.50 0.24 0.7 Perez-Gonzalez 2008
11.00 -3.610 -3.340 -3.951 1
11.20 -3.721 -3.484 -4.011 1
11.40 -3.925 -3.663 -4.253 1
11.60 -4.277 -4.006 -4.619 1
11.80 -4.498 -4.167 -4.943 1
12.00 -5.142 -4.742 -9.990 1
# 6 3.50 4.00 0.24 0.7 Perez-Gonzalez 2008
11.00 -3.748 -3.488 -4.073 1
11.20 -3.816 -3.584 -4.098 1
11.40 -4.084 -3.786 -4.471 1
11.60 -4.355 -4.092 -4.685 1
11.80 -4.923 -4.658 -5.256 1
12.00 -5.101 -4.786 -5.517 1
# 19 0.6 1.0 0.24 0.7 Santini 2012
8.23 -1.301 -1.147 -1.456 1
8.43 -1.449 -1.376 -1.522 1
8.63 -1.731 -1.667 -1.794 1
8.83 -1.804 -1.741 -1.867 1
9.03 -1.798 -1.735 -1.862 1
9.23 -1.932 -1.857 -2.007 1
9.43 -2.089 -2.000 -2.179 1
9.63 -2.148 -2.056 -2.241 1
9.83 -2.248 -2.146 -2.352 1
10.03 -2.318 -2.204 -2.434 1
10.23 -2.318 -2.197 -2.440 1
10.43 -2.504 -2.360 -2.650 1
10.63 -2.534 -2.391 -2.680 1
10.83 -2.534 -2.386 -2.685 1
11.03 -2.566 -2.421 -2.715 1
11.23 -3.203 -2.834 -3.607 1
11.43 -3.078 -2.800 -3.381 1
11.63 -3.379 -2.884 -3.936 1
11.83 -3.680 -1.843 -5.600 1
# 15 1.0 1.4 0.24 0.7 Santini 2012
8.86 -1.447 -1.345 -1.551 1
9.06 -1.898 -1.820 -1.977 1
9.26 -2.055 -1.982 -2.128 1
9.46 -2.177 -2.097 -2.257 1
9.66 -2.296 -2.206 -2.387 1
9.86 -2.284 -2.192 -2.377 1
10.06 -2.442 -2.332 -2.554 1
10.26 -2.562 -2.431 -2.694 1
10.46 -2.518 -2.397 -2.641 1
10.66 -2.664 -2.524 -2.808 1
10.86 -2.886 -2.699 -3.080 1
11.06 -2.726 -2.579 -2.878 1
11.26 -2.937 -2.751 -3.132 1
11.46 -3.363 -3.041 -3.725 1
11.66 -3.840 -2.006 -5.758 1
# 13 1.4 1.8 0.24 0.7 Santini 2012
9.22 -1.569 -1.465 -1.674 1
9.42 -2.085 -2.007 -2.164 1
9.62 -2.326 -2.241 -2.412 1
9.82 -2.497 -2.391 -2.604 1
10.02 -2.570 -2.453 -2.688 1
10.22 -2.708 -2.567 -2.851 1
10.42 -2.611 -2.482 -2.742 1
10.62 -2.633 -2.503 -2.765 1
10.82 -3.067 -2.854 -3.290 1
11.02 -2.871 -2.708 -3.039 1
11.22 -3.009 -2.821 -3.206 1
11.42 -3.611 -3.214 -4.084 1
11.62 -3.912 -2.616 -5.324 1
# 11 1.8 2.5 0.24 0.7 Santini 2012
9.51 -1.605 -1.523 -1.688 1
9.71 -1.820 -1.766 -1.874 1
9.91 -2.290 -2.227 -2.353 1
10.11 -2.456 -2.381 -2.533 1
10.31 -2.712 -2.612 -2.813 1
10.51 -2.698 -2.594 -2.802 1
